
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Principales índices mensuales"

"Fecha de consulta: 18/03/2026 02:49:47"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","IPC Por objeto del gasto Nacional, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Feb 2026"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jul 2018"
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices"
"Fecha","SP1"
01/12/1972,0.014042000000
01/01/1973,0.014246000000
01/02/1973,0.014363000000
01/03/1973,0.014490000000
01/04/1973,0.014719000000
01/05/1973,0.014876000000
01/06/1973,0.014998000000
01/07/1973,0.015382000000
01/08/1973,0.015629000000
01/09/1973,0.016001000000
01/10/1973,0.016206000000
01/11/1973,0.016406000000
01/12/1973,0.017043000000
01/01/1974,0.017653000000
01/02/1974,0.018052000000
01/03/1974,0.018191000000
01/04/1974,0.018438000000
01/05/1974,0.018583000000
01/06/1974,0.018766000000
01/07/1974,0.019038000000
01/08/1974,0.019239000000
01/09/1974,0.019457000000
01/10/1974,0.019843000000
01/11/1974,0.020394000000
01/12/1974,0.020553000000
01/01/1975,0.020816000000
01/02/1975,0.020931000000
01/03/1975,0.021063000000
01/04/1975,0.021241000000
01/05/1975,0.021525000000
01/06/1975,0.021891000000
01/07/1975,0.022066000000
01/08/1975,0.022257000000
01/09/1975,0.022419000000
01/10/1975,0.022534000000
01/11/1975,0.022692000000
01/12/1975,0.022877000000
01/01/1976,0.023319000000
01/02/1976,0.023755000000
01/03/1976,0.023988000000
01/04/1976,0.024156000000
01/05/1976,0.024325000000
01/06/1976,0.024423000000
01/07/1976,0.024629000000
01/08/1976,0.024865000000
01/09/1976,0.025713000000
01/10/1976,0.027161000000
01/11/1976,0.028388000000
01/12/1976,0.029100000000
01/01/1977,0.030027000000
01/02/1977,0.030690000000
01/03/1977,0.031225000000
01/04/1977,0.031697000000
01/05/1977,0.031976000000
01/06/1977,0.032368000000
01/07/1977,0.032734000000
01/08/1977,0.033405000000
01/09/1977,0.033998000000
01/10/1977,0.034258000000
01/11/1977,0.034632000000
01/12/1977,0.035112000000
01/01/1978,0.035892000000
01/02/1978,0.036408000000
01/03/1978,0.036787000000
01/04/1978,0.037196000000
01/05/1978,0.037560000000
01/06/1978,0.038077000000
01/07/1978,0.038723000000
01/08/1978,0.039109000000
01/09/1978,0.039555000000
01/10/1978,0.040034000000
01/11/1978,0.040446000000
01/12/1978,0.040789000000
01/01/1979,0.042237000000
01/02/1979,0.042845000000
01/03/1979,0.043426000000
01/04/1979,0.043815000000
01/05/1979,0.044389000000
01/06/1979,0.044881000000
01/07/1979,0.045425000000
01/08/1979,0.046112000000
01/09/1979,0.046678000000
01/10/1979,0.047493000000
01/11/1979,0.048104000000
01/12/1979,0.048956000000
01/01/1980,0.051342000000
01/02/1980,0.052529000000
01/03/1980,0.053610000000
01/04/1980,0.054547000000
01/05/1980,0.055437000000
01/06/1980,0.056536000000
01/07/1980,0.058115000000
01/08/1980,0.059319000000
01/09/1980,0.059978000000
01/10/1980,0.060886000000
01/11/1980,0.061942000000
01/12/1980,0.063567000000
01/01/1981,0.065615000000
01/02/1981,0.067227000000
01/03/1981,0.068665000000
01/04/1981,0.070213000000
01/05/1981,0.071275000000
01/06/1981,0.072271000000
01/07/1981,0.073544000000
01/08/1981,0.075060000000
01/09/1981,0.076456000000
01/10/1981,0.078153000000
01/11/1981,0.079657000000
01/12/1981,0.081801000000
01/01/1982,0.085866000000
01/02/1982,0.089240000000
01/03/1982,0.092499000000
01/04/1982,0.097512000000
01/05/1982,0.102993000000
01/06/1982,0.107954000000
01/07/1982,0.113517000000
01/08/1982,0.126256000000
01/09/1982,0.132995000000
01/10/1982,0.139890000000
01/11/1982,0.146963000000
01/12/1982,0.162656000000
01/01/1983,0.180355000000
01/02/1983,0.190034000000
01/03/1983,0.199232000000
01/04/1983,0.211846000000
01/05/1983,0.221034000000
01/06/1983,0.229404000000
01/07/1983,0.240746000000
01/08/1983,0.250091000000
01/09/1983,0.257787000000
01/10/1983,0.266341000000
01/11/1983,0.281983000000
01/12/1983,0.294047000000
01/01/1984,0.312728000000
01/02/1984,0.329232000000
01/03/1984,0.343304000000
01/04/1984,0.358156000000
01/05/1984,0.370032000000
01/06/1984,0.383423000000
01/07/1984,0.395993000000
01/08/1984,0.407249000000
01/09/1984,0.419380000000
01/10/1984,0.434034000000
01/11/1984,0.448929000000
01/12/1984,0.467996000000
01/01/1985,0.502711000000
01/02/1985,0.523596000000
01/03/1985,0.543885000000
01/04/1985,0.560621000000
01/05/1985,0.573902000000
01/06/1985,0.588276000000
01/07/1985,0.608763000000
01/08/1985,0.635377000000
01/09/1985,0.660752000000
01/10/1985,0.685852000000
01/11/1985,0.717495000000
01/12/1985,0.766340000000
01/01/1986,0.834092000000
01/02/1986,0.871174000000
01/03/1986,0.911667000000
01/04/1986,0.959263000000
01/05/1986,1.012570000000
01/06/1986,1.077567000000
01/07/1986,1.131333000000
01/08/1986,1.221531000000
01/09/1986,1.294812000000
01/10/1986,1.368824000000
01/11/1986,1.461304000000
01/12/1986,1.576735000000
01/01/1987,1.704401000000
01/02/1987,1.827386000000
01/03/1987,1.948153000000
01/04/1987,2.118606000000
01/05/1987,2.278325000000
01/06/1987,2.443146000000
01/07/1987,2.641022000000
01/08/1987,2.856872000000
01/09/1987,3.045081000000
01/10/1987,3.298845000000
01/11/1987,3.560511000000
01/12/1987,4.086392000000
01/01/1988,4.718246000000
01/02/1988,5.111783000000
01/03/1988,5.373547000000
01/04/1988,5.538941000000
01/05/1988,5.646109000000
01/06/1988,5.761292000000
01/07/1988,5.857457000000
01/08/1988,5.911343000000
01/09/1988,5.945139000000
01/10/1988,5.990486000000
01/11/1988,6.070654000000
01/12/1988,6.197316000000
01/01/1989,6.349024000000
01/02/1989,6.435184000000
01/03/1989,6.504945000000
01/04/1989,6.602224000000
01/05/1989,6.693099000000
01/06/1989,6.774385000000
01/07/1989,6.842148000000
01/08/1989,6.907333000000
01/09/1989,6.973393000000
01/10/1989,7.076525000000
01/11/1989,7.175855000000
01/12/1989,7.418030000000
01/01/1990,7.776037000000
01/02/1990,7.952120000000
01/03/1990,8.092310000000
01/04/1990,8.215472000000
01/05/1990,8.358838000000
